profession,description,interests,questions_and_answers,profession_label,combined_text
фронтенд-разработчик,"Разрабатывает пользовательский интерфейс и взаимодействие с пользователем веб-сайта или приложения. Работает с визуальной, внешней часть сайта, включая анимации, адаптивность. Использует HTML, CSS, JavaScript, React, Vue, Angular, TypeScript, адаптивную вёрстку, оптимизацию рендеринга.","Разработка веб-сайтов, дизайн, пользовательский интерфейс, HTML, CSS, JavaScript, React, Vue, Angular, кросс-браузерная совместимость, адаптивная вёрстка.","{'profession': 'фронтенд-разработчик', 'question': 'Какие аспекты разработки веб-сайтов вам нравятся больше всего?', 'answers': ['Создание интерактивных пользовательских интерфейсов.', 'Работа с современными фреймворками и библиотеками, такими как React или Vue.js.', 'Оптимизация производительности веб-сайтов.', 'Разработка адаптивного дизайна для различных устройств.', 'Интеграция с API и внешними сервисами.']}",0,"Разрабатывает пользовательский интерфейс и взаимодействие с пользователем веб-сайта или приложения. Работает с визуальной, внешней часть сайта, включая анимации, адаптивность. Использует HTML, CSS, JavaScript, React, Vue, Angular, TypeScript, адаптивную вёрстку, оптимизацию рендеринга. Разработка веб-сайтов, дизайн, пользовательский интерфейс, HTML, CSS, JavaScript, React, Vue, Angular, кросс-браузерная совместимость, адаптивная вёрстка."
бэкенд-разработчик,"Разрабатывает серверную логику, базы данных и управление потоками данных, в том числе API, аутентификацию, маршрутизацию. Использует Python, Django, Flask, Node.js, Express, SQL, REST, GraphQL, Docker.","Разработка серверной логики, управление данными, Python, Django, Flask, Node.js, Express, SQL, REST API, DevOps, облачные сервисы.","{'profession': 'бэкенд-разработчик', 'question': 'Какие задачи, связанные с серверной логикой и управлением данными, вам интересны?', 'answers': ['Разработка и оптимизация баз данных.', 'Создание и поддержка API.', 'Обеспечение безопасности данных и защита от атак.', 'Работа с микросервисной архитектурой.', 'Интеграция с внешними системами и сервисами.']}",1,"Разрабатывает серверную логику, базы данных и управление потоками данных, в том числе API, аутентификацию, маршрутизацию. Использует Python, Django, Flask, Node.js, Express, SQL, REST, GraphQL, Docker. Разработка серверной логики, управление данными, Python, Django, Flask, Node.js, Express, SQL, REST API, DevOps, облачные сервисы."
fullstack разработчик,"Разрабатывает как фронтенд, так и бэкенд веб-сайта или приложения. Работает с базами данных, управлением пользователями и серверной частью. Использует HTML, CSS, JavaScript, Python, Django, Flask, Node.js, Express, React, MongoDB, PostgreSQL.","Разработка веб-сайтов и приложений полностью, фронтенд и бэкенд, базы данных, HTML, CSS, JavaScript, Python, Django, Flask, Node.js.","{'profession': 'fullstack разработчик', 'question': 'Какие этапы разработки веб-приложений вам нравятся больше всего?', 'answers': ['Разработка как фронтенда, так и бэкенда.', 'Создание и поддержка API.', 'Оптимизация производительности и масштабируемости приложений.', 'Работа с DevOps и CI/CD.', 'Интеграция с различными сервисами и базами данных.']}",2,"Разрабатывает как фронтенд, так и бэкенд веб-сайта или приложения. Работает с базами данных, управлением пользователями и серверной частью. Использует HTML, CSS, JavaScript, Python, Django, Flask, Node.js, Express, React, MongoDB, PostgreSQL. Разработка веб-сайтов и приложений полностью, фронтенд и бэкенд, базы данных, HTML, CSS, JavaScript, Python, Django, Flask, Node.js."
дата-сайентист,"Анализирует и интерпретирует сложные данные, создает визуализации и модели для поддержки принятия решений. Использует Python, R, SQL, Pandas, NumPy, Matplotlib, Jupyter, машинное обучение, линейную регрессию, кластеризацию.","Анализ данных, статистика, Python, R, SQL, Pandas, NumPy, машинное обучение, создание моделей, визуализация данных, принятие решений.","{'profession': 'дата-сайентист', 'question': 'Какие аспекты анализа данных вам интересны?', 'answers': ['Разработка и обучение моделей машинного обучения.', 'Анализ больших данных и выявление закономерностей.', 'Работа с инструментами визуализации данных.', 'Применение статистических методов для анализа данных.', 'Создание прогнозных моделей.']}",3,"Анализирует и интерпретирует сложные данные, создает визуализации и модели для поддержки принятия решений. Использует Python, R, SQL, Pandas, NumPy, Matplotlib, Jupyter, машинное обучение, линейную регрессию, кластеризацию. Анализ данных, статистика, Python, R, SQL, Pandas, NumPy, машинное обучение, создание моделей, визуализация данных, принятие решений."
дата-аналитик,"Собирает, обрабатывает и проводит статистический анализ больших данных для выявления бизнес-выводов. Использует Python, SQL, Excel, Power BI, Tableau, анализ данных, статистические методы, прогнозирование, ETL процессы.","Сбор и обработка данных, анализ данных, прогнозирование, Python, SQL, Excel, Power BI, Tableau, статистические методы, визуализация данных.","{'profession': 'дата-аналитик', 'question': 'Какие задачи, связанные с обработкой и анализом данных, вам нравятся?', 'answers': ['Сбор и очистка данных.', 'Создание отчетов и дашбордов.', 'Анализ бизнес-метрик и KPI.', 'Работа с инструментами BI, такими как Tableau или Power BI.', 'Проведение A/B тестирования.']}",4,"Собирает, обрабатывает и проводит статистический анализ больших данных для выявления бизнес-выводов. Использует Python, SQL, Excel, Power BI, Tableau, анализ данных, статистические методы, прогнозирование, ETL процессы. Сбор и обработка данных, анализ данных, прогнозирование, Python, SQL, Excel, Power BI, Tableau, статистические методы, визуализация данных."
инженер машинного обучения,"Разрабатывает, строит и внедряет модели и алгоритмы машинного обучения для автоматизации задач и прогнозирования. Использует Python, TensorFlow, PyTorch, Scikit-learn, нейронные сети, глубокое обучение, компьютерное зрение, обработку естественного языка (NLP).","Машинное обучение, глубокое обучение, нейронные сети, искусственный интеллект, Python, TensorFlow, PyTorch, NLP, компьютерное зрение.","{'profession': 'инженер машинного обучения', 'question': 'Какие аспекты разработки и обучения моделей машинного обучения вам интересны?', 'answers': ['Разработка и оптимизация алгоритмов машинного обучения.', 'Обучение моделей на больших объемах данных.', 'Применение глубокого обучения и нейронных сетей.', 'Работа с фреймворками, такими как TensorFlow или PyTorch.', 'Оценка и улучшение производительности моделей.']}",5,"Разрабатывает, строит и внедряет модели и алгоритмы машинного обучения для автоматизации задач и прогнозирования. Использует Python, TensorFlow, PyTorch, Scikit-learn, нейронные сети, глубокое обучение, компьютерное зрение, обработку естественного языка (NLP). Машинное обучение, глубокое обучение, нейронные сети, искусственный интеллект, Python, TensorFlow, PyTorch, NLP, компьютерное зрение."
девопс-инженер,"Управляет разработкой, развертыванием и эксплуатацией программных систем, настройкой CI/CD. Работает с инфраструктурой и мониторингом. Использует Docker, Kubernetes, Jenkins, Terraform, CI/CD, Ansible, AWS, Azure, контейнеризацию.","Инфраструктура, автоматизация, CI/CD, DevOps, Docker, Kubernetes, Jenkins, контейнеризация, облачные сервисы, AWS, Azure, Terraform.","{'profession': 'девопс-инженер', 'question': 'Какие задачи, связанные с автоматизацией разработки и развертывания программного обеспечения, вам интересны?', 'answers': ['Настройка и управление CI/CD пайплайнами.', 'Автоматизация тестирования и развертывания.', 'Работа с контейнеризацией и оркестрацией (Docker, Kubernetes).', 'Обеспечение надежности и масштабируемости систем.', 'Мониторинг и управление инфраструктурой.']}",6,"Управляет разработкой, развертыванием и эксплуатацией программных систем, настройкой CI/CD. Работает с инфраструктурой и мониторингом. Использует Docker, Kubernetes, Jenkins, Terraform, CI/CD, Ansible, AWS, Azure, контейнеризацию. Инфраструктура, автоматизация, CI/CD, DevOps, Docker, Kubernetes, Jenkins, контейнеризация, облачные сервисы, AWS, Azure, Terraform."
специалист по кибербезопасности,"Защищает компьютерные системы и сети от киберугроз, следит за уязвимостями, проводит аудит безопасности. Использует Network security, Firewalls, Intrusion detection, VPN, шифрование данных, penetration testing, антивирусное ПО, информационную безопасность.","Кибербезопасность, защита данных, шифрование, firewall, сетевые атаки, penetration testing, Network security, аудиты безопасности.","{'profession': 'специалист по кибербезопасности', 'question': 'Какие аспекты защиты компьютерных систем и сетей вам интересны?', 'answers': ['Обнаружение и предотвращение угроз.', 'Разработка и внедрение политик безопасности.', 'Проведение аудитов и тестов на проникновение.', 'Работа с инструментами для мониторинга и анализа безопасности.', 'Обучение и повышение осведомленности сотрудников о кибербезопасности.']}",7,"Защищает компьютерные системы и сети от киберугроз, следит за уязвимостями, проводит аудит безопасности. Использует Network security, Firewalls, Intrusion detection, VPN, шифрование данных, penetration testing, антивирусное ПО, информационную безопасность. Кибербезопасность, защита данных, шифрование, firewall, сетевые атаки, penetration testing, Network security, аудиты безопасности."
сетевой инженер,"Разрабатывает, внедряет и управляет компьютерными сетями, управляет сетевыми устройствами, протоколами. Использует Network design, Routing, Switching, VLAN, TCP/IP, Cisco, DNS, DHCP, протоколы маршрутизации.","Компьютерные сети, сетевые протоколы, маршрутизация, VLAN, TCP/IP, настройка маршрутизаторов, коммутаторов, DNS, DHCP, Cisco.","{'profession': 'сетевой инженер', 'question': 'Какие задачи, связанные с разработкой и управлением компьютерными сетями, вам нравятся?', 'answers': ['Проектирование и настройка сетевой инфраструктуры.', 'Обеспечение безопасности сети.', 'Мониторинг и управление производительностью сети.', 'Работа с маршрутизаторами и коммутаторами.', 'Внедрение и поддержка VPN и других сетевых сервисов.']}",8,"Разрабатывает, внедряет и управляет компьютерными сетями, управляет сетевыми устройствами, протоколами. Использует Network design, Routing, Switching, VLAN, TCP/IP, Cisco, DNS, DHCP, протоколы маршрутизации. Компьютерные сети, сетевые протоколы, маршрутизация, VLAN, TCP/IP, настройка маршрутизаторов, коммутаторов, DNS, DHCP, Cisco."
системный администратор,"Управляет и поддерживает компьютерные системы, обеспечивает их бесперебойную работу и производительность. Использует System administration, Server management, Linux, Windows Server, виртуализацию, автоматизацию, резервное копирование.","Системное администрирование, серверы, Linux, Windows Server, виртуализация, резервное копирование, автоматизация, управление конфигурацией.","{'profession': 'системный администратор', 'question': 'Какие аспекты управления и поддержки компьютерных систем и серверов вам интересны?', 'answers': ['Установка и настройка операционных систем.', 'Обеспечение безопасности и защиты данных.', 'Мониторинг и управление производительностью систем.', 'Резервное копирование и восстановление данных.', 'Поддержка пользователей и решение технических проблем.']}",9,"Управляет и поддерживает компьютерные системы, обеспечивает их бесперебойную работу и производительность. Использует System administration, Server management, Linux, Windows Server, виртуализацию, автоматизацию, резервное копирование. Системное администрирование, серверы, Linux, Windows Server, виртуализация, резервное копирование, автоматизация, управление конфигурацией."
